 year |                   primary_situation                    | total_incidents 
------+--------------------------------------------------------+-----------------
 2003 | 711 - Municipal alarm system, Street Box False         |            7718
 2003 | 700 - False alarm or false call, other                 |            2447
 2003 | 730 - System malfunction, other                        |            1488
 2003 | 745 - Alarm system sounded/no fire-accidental          |            1350
 2003 | 735 - Alarm system sounded due to malfunction          |            1302
 2003 | 311 - Medical assist, assist EMS crew                  |            1093
 2003 | 740 - Unintentional alarm, other                       |            1045
 2003 | 113 - Cooking fire, confined to container              |             925
 2003 | 118 - Trash or rubbish fire, contained                 |             878
 2003 | 500 - Service Call, other                              |             753
 2003 | 554 - Assist invalid                                   |             692
 2003 | 733 - Smoke detector activation/malfunction            |             655
 2003 | 520 - Water problem, other                             |             594
 2003 | 651 - Smoke scare, odor of smoke                       |             587
 2003 | 111 - Building fire                                    |             496
 2003 | 710 - Malicious, mischievous false call, other         |             478
 2003 | 100 - Fire, other                                      |             469
 2003 | 743 - Smoke detector, no fire, accidental              |             467
 2003 | 131 - Passenger vehicle fire                           |             460
 2003 | 522 - Water or steam leak                              |             447
 2003 | 551 - Assist PD or other Govern. Agency                |             424
 2003 | 600 - Good intent call, other                          |             392
 2003 | 511 - Lock-out                                         |             383
 2003 | 531 - Smoke or odor removal                            |             358
 2003 | 353 - Removal of victim(s) from stalled elev.          |             344
 2003 | 322 - Vehicle accident with injuries                   |             308
 2003 | 151 - Outside rubbish, trash or waste fire             |             279
 2003 | 900 - Special type of incident, other                  |             275
 2003 | 400 - Hazardous condition, other                       |             253
 2003 | 412 - Gas leak (natural gas or LPG)                    |             236
 2003 | 744 - Detector activation, no fire - accident          |             232
 2003 | 411 - Gasoline or other flammable liquid spill         |             219
 2003 | 550 - Public service assistance, other                 |             217
 2003 | 715 - Local alarm sys., Malicious False alarm          |             205
 2003 | 331 - Lock-in (if lock out , use 511 )                 |             204
 2003 | 440 - Elec. wiring/equip. problem, other               |             198
 2003 | 463 - Vehicle accident, general cleanup                |             183
 2003 | 300 - Rescue, EMS call, other                          |             168
 2003 | 911 - Citizen complaint                                |             168
 2003 | 611 - Dispatched & canceled en route                   |             167
 2003 | 510 - Person in distress, other                        |             152
 2003 | 712 - Direct tie to FD, malicious/false alarm          |             143
 2003 | 154 - Dumpster/Outside trash receptacle fire           |             134
 2003 | 323 - Auto/Ped. Accident (Veh.)                        |             122
 2003 | 130 - Mobile property (vehicle) fire, other            |             119
 2003 | 150 - Outside rubbish fire, other                      |             119
 2003 | 143 - Grass fire                                       |             117
 2003 | 444 - Power line down (wire)                           |              97
 2003 | 445 - Arcing, shorted electrical equipment             |              97
 2003 | 741 - Sprinkler activation/no fire-accidental          |              96
 2003 | 413 - Oil or other combustible liquid spill            |              89
 2003 | 714 - Central station, malicious false alarm           |              85
 2003 | 442 - Overheated motor                                 |              83
 2003 | 553 - Public service                                   |              82
 2003 | 652 - Steam/vapor/fog/dust mistaken for smoke          |              79
 2003 | 650 - Steam/gas mistaken for smoke, other              |              75
 2003 | 462 - Aircraft standby                                 |              64
 2003 | 621 - Wrong location                                   |              60
 2003 | 350 - Extrication, rescue, other                       |              57
 2003 | 460 - Accident, potential accident, other              |              54
 2003 | 653 - Barbecue, tar kettle                             |              52
 2003 | 552 - Police matter                                    |              48
 2003 | 142 - Brush, or brush and grass mixture fire           |              47
 2003 | 1 -                                                    |              47
 2003 | 661 - EMS call, party transported by non-fire ag       |              44
 2003 | 713 - Telephone, malicious false alarm                 |              41
 2003 | 10 -                                                   |              40
 2003 | 555 - Defective elevator, no occupants                 |              40
 2003 | 521 - Water evacuation                                 |              38
 2003 | 321 - EMS excluding veh. accident w/injuries           |              37
